Date,Active infections,"Current patients, COVID-19"
2020/3/6,146,
2020/3/7,179,
2020/3/8,225,
2020/3/9,326,
2020/3/10,423,
2020/3/11,619,
2020/3/12,769,
2020/3/13,920,
2020/3/14,989,
2020/3/15,1056,
2020/3/16,1138,
2020/3/17,1251,
2020/3/18,1389,
2020/3/19,1523,
2020/3/20,1695,
2020/3/21,1819,
2020/3/22,1926,
2020/3/23,2087,
2020/3/24,2295,
2020/3/25,2578,
2020/3/26,2832,
2020/3/27,3162,
2020/3/28,3424,
2020/3/29,3659,
2020/3/30,4027,267
2020/3/31,4449,298
2020/4/1,4865,314
2020/4/2,5339,347
2020/4/3,5870,366
2020/4/4,6142,378
2020/4/5,6392,404
2020/4/6,6697,426
2020/4/7,7320,436
2020/4/8,7889,467
2020/4/9,8444,472
2020/4/10,8795,490
2020/4/11,9093,492
2020/4/12,9472,516
2020/4/13,9818,529
2020/4/14,10182,530
2020/4/15,10675,540
2020/4/16,11216,527
2020/4/17,11818,529
2020/4/18,12262,544
2020/4/19,12566,544
2020/4/20,12965,527
2020/4/21,13595,537
2020/4/22,14231,525
2020/4/23,14900,531
2020/4/24,15606,547
2020/4/25,16004,558
2020/4/26,16231,558
2020/4/27,16712,543
2020/4/28,17370,553
2020/4/29,18090,531
2020/4/30,18647,543
2020/5/1,19106,529
2020/5/2,19330,515
2020/5/3,19507,512
2020/5/4,19911,515
2020/5/5,20495,506
2020/5/6,21161,496
2020/5/7,21888,481
2020/5/8,22519,475
2020/5/9,22954,472
2020/5/10,23168,466
2020/5/11,23562,448
2020/5/12,24266,424
2020/5/13,24920,412
2020/5/14,25522,401
2020/5/15,26161,396
2020/5/16,26466,376
2020/5/17,26664,373
2020/5/18,27055,384
2020/5/19,27668,374
2020/5/20,28422,361
2020/5/21,28976,350
2020/5/22,29452,334
2020/5/23,29811,336
2020/5/24,29979,337
2020/5/25,30441,339
2020/5/26,31148,345
2020/5/27,31908,336
2020/5/28,32642,330
2020/5/29,33376,311
2020/5/30,33763,309
2020/5/31,33988,315
2020/6/1,34599,309
2020/6/2,35474,309
2020/6/3,36475,300
2020/6/4,37476,295
2020/6/5,38591,293
2020/6/6,39341,288
2020/6/7,39765,301
2020/6/8,40409,294
2020/6/9,41305,290
2020/6/10,42706,281
2020/6/11,43970,270
2020/6/12,45274,260
2020/6/13,46289,254
2020/6/14,46676,251
2020/6/15,47332,242
2020/6/16,48517,230
2020/6/17,49945,218
2020/6/18,51412,219
2020/6/19,52596,210
2020/6/20,53277,213
2020/6/21,53577,200
2020/6/22,54352,201
2020/6/23,55642,192
2020/6/24,57316,191
2020/6/25,58585,178
2020/6/26,59774,171
2020/6/27,60512,156
2020/6/28,60914,152
2020/6/29,61621,153
2020/6/30,62409,145
2020/7/1,63078,137
2020/7/2,63759,124
2020/7/3,64443,129
2020/7/4,64804,124
2020/7/5,65103,120
2020/7/6,65342,116
2020/7/7,65609,102
2020/7/8,66131,92
2020/7/9,66452,90
2020/7/10,66818,83
2020/7/11,67123,86
2020/7/12,67215,83
2020/7/13,67377,87
2020/7/14,67686,79
2020/7/15,67977,73
2020/7/16,68242,70
2020/7/17,68530,62
2020/7/18,68720,62
2020/7/19,68823,56
2020/7/20,68947,49
2020/7/21,69166,58
2020/7/22,69457,58
2020/7/23,69673,58
2020/7/24,69934,50
2020/7/25,70070,53
2020/7/26,70106,47
2020/7/27,70173,49
2020/7/28,70455,46
2020/7/29,70756,42
2020/7/30,71055,41
2020/7/31,71310,39
2020/8/1,71612,38
2020/8/2,71645,40
2020/8/3,71808,38
2020/8/4,72141,41
2020/8/5,72561,39
2020/8/6,72936,38
2020/8/7,73314,36
2020/8/8,73570,38
2020/8/9,73641,35
2020/8/10,73833,34
2020/8/11,74247,35
2020/8/12,74686,33
2020/8/13,75048,30
2020/8/14,75391,31
2020/8/15,75617,31
2020/8/16,75678,29
2020/8/17,75846,31
2020/8/18,76159,28
2020/8/19,76509,28
2020/8/20,76841,27
2020/8/21,77138,26
2020/8/22,77298,24
2020/8/23,77355,25
2020/8/24,77537,22
2020/8/25,77762,26
2020/8/26,78008,21
2020/8/27,78138,21
2020/8/28,78137,21
2020/8/29,78137,21
2020/8/30,78137,22
2020/8/31,78571,19
2020/9/1,78708,16
2020/9/2,78712,15
2020/9/3,78897,16
2020/9/4,79150,17
2020/9/5,79150,17
2020/9/6,79150,17
2020/9/7,79721,13
2020/9/8,79869,13
2020/9/9,80038,13
2020/9/10,80351,12
2020/9/11,80659,12
