Parameters,Countries,Values
Recovery rate,China,0.025534912
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.013602429
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.015794828
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.015375676
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.016768884
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021315448
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021788297
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021638285
Recovery rate,US,0.25
Recovery rate,Sweden,0.0
Recovery rate,China,0.022573869
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021857631
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.011672447
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.035969917
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.036552027
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.025729863
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.027153102
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.031124983
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.032405177
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.032223027
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.038449974
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.012585499
Recovery rate,US,0.181818182
Recovery rate,Sweden,0.0
Recovery rate,China,0.076911808
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.009448697
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.038489979
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.055026093
Recovery rate,US,0.090909091
Recovery rate,Sweden,0.0
Recovery rate,China,0.051884504
Recovery rate,US,0.0
