,China,US,Sweden
Spreading rate,0.417275689,0,0
Spreading rate,0.195242313,0.375,0
Spreading rate,0.213685281,0,0
Spreading rate,0.166852903,0,0
Spreading rate,0.122156665,0.090909091,0
Spreading rate,0.123713874,0,0
Spreading rate,0.086133851,0,0
Spreading rate,0.09023434,0,0
Spreading rate,0.070718387,0,0
Spreading rate,0.054296708,0.111111111,0
Spreading rate,0.009653709,0,0
Spreading rate,0.39253112,0.1,0
Spreading rate,0.123554264,0,0
Spreading rate,0.0361414,0,0
Spreading rate,0.036552252,0,0
Spreading rate,0.033125259,0,0
Spreading rate,0.030580987,0,0
Spreading rate,0.00703424,0,0
Spreading rate,0.008100317,0,0
Spreading rate,0.008627451,0.181818182,0
Spreading rate,0.026571198,0,0
Spreading rate,0.000404944,0,0
Spreading rate,0.004261529,0,0
Spreading rate,0.010336282,0,0
Spreading rate,0.0086896,0,1
Spreading rate,0.009566847,0.1,0.5
Spreading rate,0.007641413,0,2.666666667
Spreading rate,0.010751338,0.8,0.272727273
Spreading rate,0.015484287,0.411764706,0
Spreading rate,0.005845607,0.958333333,0.357142857
Spreading rate,0.003861839,0.452380952,0.684210526
Spreading rate,0.004185642,0.55,0.9375
Spreading rate,0.005510547,0.865168539,0.403225806
Spreading rate,0.006064209,0.321212121,0.67816092
Spreading rate,0.003375243,0.768518519,0.226027397
Spreading rate,0.002391805,0.306068602,0.25698324
Spreading rate,0.001819523,0.152749491,0.448888889
Spreading rate,0.001426081,0.332743363,0.300613497
Spreading rate,0.001935447,0.489276139,0.463356974
Spreading rate,0.000682552,0.396925859,0.243941842
Spreading rate,0.000874891,0.413455258,0.197659298
Spreading rate,0.002358317,0.352040816,0.077173913
Spreading rate,0.002144507,0.080467675,0.069767442
Spreading rate,0.002782157,0.468690096,0.078598485
Spreading rate,0.002523723,0.401533406,0.10456942
Spreading rate,0.004872647,0.417635964,0.115907274
Spreading rate,0.006661732,0.506537421,0.102951764
Spreading rate,0.01275095,0.479514987,0.118187787
Spreading rate,0.008171148,0.307183849,0.079646018
Spreading rate,0.021005009,0.347870622,0.064870808
Spreading rate,0.010863942,0.32934518,0.094496366
Spreading rate,0.017190388,0.235064791,0.110206037
Spreading rate,0.013916501,0.218172948,0.136819172
Spreading rate,0.026287204,0.265943174,0.110938712
Spreading rate,0.026682135,0.221879083,0.128884181
Spreading rate,0.026281886,0.191922554,0.09487666
Spreading rate,0.034166667,0.156115108,0.081775701
Spreading rate,0.023485785,0.160451665,0.113692266
Spreading rate,0.027300303,0.168659873,0.117953812
Spreading rate,0.029667149,0.179635858,0.109238031
Spreading rate,0.026893939,0.153866718,0.113874615
Spreading rate,0.031041257,0.134190555,0.112567897
Spreading rate,0.013195876,0.120185214,0.060817717
Spreading rate,0.026025584,0.10100788,0.055356561
Spreading rate,0.030552861,0.097705498,0.060857322
Spreading rate,0.026237624,0.088234872,0.110198596
Spreading rate,0.046122656,0.083330442,0.089480874
Spreading rate,0.038845144,0.089405003,0.081759412
Spreading rate,0.031099196,0.079271666,0.053765988
Spreading rate,0.040331492,0.063040959,0.044911882
Spreading rate,0.066889632,0.05602575,0.051028263
Spreading rate,0.043051771,0.052741394,0.04613598
Spreading rate,0.050847458,0.054746547,0.048787941
Spreading rate,0.028392959,0.04637777,0.059320369
Spreading rate,0.027663331,0.05310665,0.058360656
Spreading rate,0.21557971,0.055395613,0.061340942
Spreading rate,0.017175573,0.045303841,0.045016077
Spreading rate,0.011711126,0.041059439,0.031642473
Spreading rate,0.00811359,0.045280478,0.036686296
Spreading rate,0.025069638,0.037869691,0.054531431
Spreading rate,0.010578279,0.040775187,0.05310776
Spreading rate,0.011670314,0.046315847,0.053264001
Spreading rate,0.011857708,0.042775556,0.052281879
Spreading rate,0.008665511,0.039761232,0.030308856
Spreading rate,0.00273224,0.033543735,0.018745314
Spreading rate,0.006012024,0.028993376,0.034686711
Spreading rate,0.024255788,0.029473255,0.044399234
Spreading rate,0.004540295,0.031102155,0.045941278
Spreading rate,0.014405762,0.033673223,0.035102266
Spreading rate,0.003768844,0.040441852,0.028530058
Spreading rate,0,0.031115414,0.015649534
Spreading rate,0.006793478,0.027332938,0.013502328
Spreading rate,0.00311042,0.026183966,0.024401497
Spreading rate,0.003724395,0.026163131,0.032996836
Spreading rate,0.004338395,0.025678818,0.036399122
Spreading rate,0.012376238,0.028212954,0.037191059
Spreading rate,0.002770083,0.02688264,0.031980994
Spreading rate,0.040462428,0.02451049,0.022603135
Spreading rate,0.088495575,0.018545888,0.012111179
Spreading rate,0.004854369,0.018858716,0.019639157
Spreading rate,0.039772727,0.021736854,0.032000679
Spreading rate,0.037735849,0.019078016,0.028846946
Spreading rate,0.035460993,0.025339921,0.026484751
Spreading rate,0.06870229,0.022655017,0.026957135
